abbot	Ledare för ett kloster	Munkarnas överhuvud
läger	Tillfälligt boende utomhus	Plats med tält för övernattning
lägre	Mindre i höjd, jämförelse	Under en annan nivå
lämna	Gå ifrån något	Ge bort eller överlämna
länet	Den administrativa regionen	Området som styrs av landshövding
länge	Under lång tid	Inte kort stund
länka	Foga samman med en kedja	Skapa en hänvisning på nätet
läran	Den specifika filosofin	Ett systems grundsatser
läror	Olika filosofiska system	Flera samlingar av grundsatser
läsas	Bli genomgången text för text	Tolkas genom ögonens rörelse över rader
läste	Tog del av text förr	Studerade en bok igår
löper	Springer just nu	Sträcker sig i en linje
lösta	Redan utredda, om problem	Frigjorda från sin plats
löste	Redde ut gåtan tidigare	Frigjorde det som satt fast
madam	Äldre tilltal till en dam	Gammaldags ord för fru
magar	Kroppsdelar som kurrar	Där maten smälts, flera
magra	Gå ner i vikt	Bli tunnare med tiden
maila	Skicka ett elektroniskt brev	Kontakta via e-post
mamma	Kvinnan som fött en	Familjens moder
marin	Havsrelaterad, eller flottans styrka	Blåaktig kulör
massa	Stor mängd av något	Formlöst material eller kladd
matar	Ger föda åt djur	Förser med bränsle eller data
matas	Blir given föda	Förses med information
matat	Har gett näring åt någon	Har fött djuren
maten	Det man äter till middag	Näringen på tallriken
matta	Textil på golvet	Det man torkar fötterna på
matte	Räknelära i skolan	Husdjurets kvinnliga ägare
medan	Samtidigt som något annat sker	Under tiden det pågår
medge	Erkänna att man haft fel	Tillstå sanningen motvilligt
medla	Försöka lösa en konflikt mellan parter	Agera opartisk mellanhand
melon	Söt saftig sommarfrukt	Rund frukt med kärnor inuti
menar	Avser med sina ord	Syftar på något visst
menas	Avses med uttrycket	Syftas på i sammanhanget
menat	Har avsett något visst	Har syftat på något
mened	Att ljuga under ed	Falskt vittnesmål i rätten
mikro	Kort för en liten apparat som värmer mat	Förled som betyder mycket litet
miner	Sprängladdningar nedgrävda i marken	Ansiktsuttryck
missa	Att inte lyckas nå målet	Gå miste om något viktigt
misse	Smeknamn på tamkatt	Vardagligt ord för huskatt
mista	Att förlora något värdefullt	Bli av med något man haft
mobba	Trakassera någon systematiskt	Utsätta någon för elakheter i grupp
modet	Det man behöver för att våga	Trenden inom kläder just nu
mogna	Bli fullvuxen och redo	Frukt som blir söt och mjuk
mommo	Finlandssvenskt ord för mormor	Släktnamn barn kan kalla sin mormor
moral	Uppfattning om rätt och fel	Etiska principer som styr handlande
moran	Geologisk avlagring från is	Jordart lämnad av glaciärer
morra	Ljud en arg hund gör	Att gnälla surt och hotfullt
morrn	Kort hälsning tidigt på dagen	Vardaglig förkortning av godmorgon
mosad	Krossad till jämn konsistens	Som pressats sönder till mos
mosar	Krossar till en jämn massa	Gör potatis till puré
mossa	Grön växt som täcker fuktiga stenar	Mjukt växttäcke i skogen
motta	Ta emot något som skickas till en	Ta emot en gåva från någon annan
motto	Kort valspråk man lever efter	Devis som sammanfattar en filosofi
murar	Bygger med sten och murbruk	Reser stenväggar
mysko	Konstigt och misstänkt	Skumt och lite oroväckande
målat	Täckt med färg	Skapat en tavla
månar	Bryr sig om och tar hand om	Visar omsorg för något
månne	Undrande ord i frågor, kanske?	Uttrycker osäkerhet i en fråga
märke	Spår efter något	Varumärke eller symbol på en vara
mässa	Utställning för handel	Gudstjänst i kyrkan
mätas	Vad avstånd kan göra med måttband	Går att jämföras kvantitativt
mätta	Göra hungern försvinner	Fylla magen ordentligt
mörkt	Utan mycket ljus	Beskriver en dyster stämning
mössa	Huvudbonad för kalla dagar	Stickat plagg man bär på huvudet
nacke	Baksidan av halsen	Del av kroppen mellan huvud och rygg
nagel	Hårt skydd ytterst på fingret	Klipps med sax eller fil
naiva	Beskriver flera som är lättlurade	Barnsligt godtrogna
naken	Utan kläder	Helt bar, inget täcker
naket	Helt utan beklädnad	Blottat, utan skydd
nakna	Utan kläder	Klädlösa, blottade
nasir	Titel för en ledare i vissa muslimska länder	Historisk härskartitel i Nordafrika
nasse	Smeknamn för en gris	Rosa bondgårdsdjur i barnspråk
natta	Lägga till sömns	Säga godnatt och slå in för kvällen
natur	Skog, mark och allt levande utomhus	Det som finns oberoende av människan
nedre	Längst ner i en ordning	Motsatsen till övre
nedåt	I riktning mot marken	Rörelse som pekar neråt
nekad	Fick avslag på sin ansökan	Blev vägrad tillträde
nekas	Vägras tillstånd eller inträde	Blir avvisad från något
nekat	Har vägrat erkänna skuld	Sagt nej till en begäran
neråt	Mot lägre nivå	I riktning nedåt
nicka	Böja huvudet i bekräftelse	Träffa bollen med pannan
nitar	Fäster med metallsprintar	Håller samman metall utan skruv
nivån	Den specifika höjden eller graden	Det bestämda skiktet man befinner sig på
njure	Bönformat organ i kroppen	Renar blodet i par
njuta	Uppleva stor glädje	Ha det riktigt skönt
nolla	Siffran innan ettan	Kalla nyanställd i skolan
norsk	Från landet väster om Sverige	Talar bokmål eller nynorska
nosar	Undersöker med luktsinnet	Snokar runt lite försiktigt
nosen	Djurets ansiktsspets	Framdelen på hunden
notis	Kort nyhetsmeddelande	Liten uppgift i tidningen
nyare	Mindre gammal	Av senare datum
nytta	Praktiskt värde	Fördel man har av något
några	Ett fåtal, ospecificerat antal	Fler än en, men inte alla
nålar	Vassa föremål för sömnad	Barrträdets tunna blad
nålen	Redskapet man trär tråd i	Spetsen på sprutan
närma	Röra sig steg för steg mot ett mål	Komma allt intill något med tiden
nästa	Det som kommer efter	Följande i tur och ordning
näven	Knuten hand	Sluten hand redo att slå
oasis	Grön fläck i öknen	Vattenkälla omgiven av sand
ocean	Stort saltvattenhav	Atlanten eller Stilla havet, till exempel
odlar	Får grönsaker att växa	Bonden som brukar jorden
oense	Inte överens	I konflikt om åsikter
offra	Ge upp något för andras skull	Skänka bort till förmån för annat
ogift	Utan make eller maka	Ännu inte vigd
ojsan	Utrop vid liten olycka	Sägs vid ett litet snedsteg
oklar	Svår att förstå	Otydlig eller dimmig
okänt	Inte identifierat	Främmande och obekant
olaga	Förbjuden enligt lag	Olovlig, till exempel innehav
olikt	Inte typiskt för någon	På ett avvikande sätt
oljan	Det svarta guldet	Vätskan man smörjer motorn med
olåst	Inte säkrat med nyckel	Dörren stod så här
omega	Sista bokstaven i ett grekiskt alfabet	Slutet, motsats till alfa
omkom	Miste livet	Dog i en olycka
omväg	Längre rutt än nödvändigt	Sväng utanför den raka vägen
opera	Sjungen scenkonst	Föreställning med arior
oralt	Via munnen	Om medicin man sväljer
orden	Sällskap med hemliga tecken	Utmärkelser man tilldelas
ordet	Det man ber om att få, i debatt	Ett enskilt uttryck i språket
ordna	Ställa i rätt struktur	Se till att något blir klart
oreda	Kaos och oordning	Rörigt tillstånd
orena	Göra smutsig	Förstöra renheten hos något
orent	Inte rent, om ljud eller ämne	Smutsigt, exempelvis vatten
orkan	Kraftig tropisk storm	Häftigt oväder med extrem vind
orkar	Har fortfarande krafter kvar	Klarar av att fortsätta
orkat	Haft kraft att göra något, i efterhand	Klarat av trots trötthet
ormar	Krälande djur utan ben	Reptiler som ringlar sig fram
oroad	Fylld av bekymmer	Nervös inför något
oroar	Väcker ängslan hos någon	Gör orolig, i nutid
oroas	Blir bekymrad	Känner sig störd av något
orten	Det lokala området, i vardagligt tal	Ens hemtrakt eller kvarter
orätt	Något som är felaktigt eller fel	Motsats till rättvisa
orörd	Inte berörd av något	Fortfarande i ursprungligt skick
orört	I sitt naturliga tillstånd	Ännu inte påverkat
osams	Oense med varandra	Bråkiga och inte överens
osant	Inte sant	En lögn snarare än fakta
osedd	Inte upptäckt av någon	Smyger förbi utan att märkas
ostar	Flera sorters mejeriprodukt av löpe	Skivor att lägga på smörgåsen
osten	Den gulaktiga mejeriprodukten	Det man river på pastan
otalt	Inte reglerat ekonomiskt	En skuld som kvarstår
otäck	Läskig och obehaglig	Motsatsen till trevlig
ovala	Äggformade	Inte runda utan avlånga
ovana	Dålig vana	Något man borde sluta med
pajat	Gått sönder helt	Havererat totalt
panna	Del av ansiktet ovanför ögonen	Kärl att steka i
parar	Sätter samman två och två	Förenar två individer till ett kopplat sällskap
paren	Grupperna om två	De sammankopplade tvåtalen
paret	De två tillsammans	Den kopplade duon
parti	Politisk organisation	En viss mängd varor
passa	Vara lämplig	Sköta ett ansvar tillfälligt
pasta	Italiensk maträtt av mjöl	Ingrediens i spaghetti
pekar	Riktar fingret mot	Visar med handen var något är
pekat	Har riktat fingret	Har visat med handen
pesos	Valuta i flera latinamerikanska länder	Mynt man betalar med i Mexiko
petar	Rör vid med fingret	Pillar lite här och där
petit	Litet och obetydligt	Fransk term för finstämt och litet
pilen	Den riktade symbolen	Objektet som visar väg
pilla	Peta lite smått	Fingra på något litet
pilot	Person som flyger flygplan	Den som sitter i cockpit
pinne	Tunn träbit	Kvist som brutits av
pipan	Röret att röka i	Föremålet man blåser i för att låta
pirat	Sjörövare	Person som stjäl på haven
piren	Bryggan ut i vattnet	Platsen där båtar lägger till
piska	Redskap att slå med	Långt föremål av läder att aga med
plagg	Ett klädesobjekt	Något man har på kroppen
plana	Göra jämn och flat	Rikta ut en böjd yta
plask	Ljud när något träffar vatten	Lek i en pöl
plats	Ställe eller lokal	Anställning man söker
platt	Utan upphöjning	Motsatsen till kupig
poesi	Konstform med rim och rytm	Lyriska texter
pojke	Ung manlig person	Motsats till flicka
posta	Skicka iväg ett brev	Lämna in paket för leverans
potta	Kärl för de allra minsta	Barns hjälpmedel innan toalett
prata	Föra ett samtal	Uttrycka sig muntligt
press	Media som samlingsbegrepp	Tryck eller stress
prima	Av högsta kvalitet	Utmärkt och förstklassig
prost	Präst med högre kyrklig titel	Ledare för ett kontrakt inom kyrkan
prova	Testa något innan köp	Sätta på ett klädesplagg för att se passform
pruta	Förhandla ner ett pris	Be om rabatt vid köp
pryor	Yngre elever som fungerar som förebilder	Äldre skolelever med ansvar för yngre
präst	Ledare vid gudstjänst	Person som förrättar vigslar
psalm	Sång i kyrkan	Religiös vissa som sjungs gemensamt
pucko	Nedsättande ord för dum person	Slangord för idiot
punka	Hål i ett cykeldäck	Orsak till att däcket töms på luft
pålar	Stolpar nedslagna i marken	Stöttor under en brygga
påstå	Hävda något utan bevis	Säga bestämt att något är sant
päron	Söt frukt med smal topp	Grön eller gul frukt på träd
racer	Snabb tävlingsbil	Fordon byggt för hastighet
racka	Klaga och gnälla ihärdigt	Prata illa om någon länge
radar	Instrument som upptäcker flygplan	Används för att spåra fartyg
raden	Linjen med text på en sida	Ordningsföljden man står i
rader	Flera textlinjer	Serier med ord på en sida
radie	Avstånd från centrum till kant	Halva diametern på en cirkel
radio	Apparat som sänder ljud	Medium för musik och nyheter
ragga	Försöka locka till sig en partner	Flörta på en bar
rajan	Indisk furste	Härskare i gammal indisk stat
rakad	Utan skäggstubb	Slätrensad hud efter behandling
rakar	Tar bort ansiktshår	Sköter morgonrutin med kniv
rakat	Har tagit bort skägget	Slätat hud med rakhyvel
rally	Tävling med bilar på landsväg	Motorsport genom skog och grus
ramar	Inramningar till tavlor	Kanter runt fönster eller bilder
ramen	Kanten runt en tavla	Gränsen för vad som är tillåtet
ramla	Falla omkull	Tappa balansen och trilla
ramma	Sätta en tavla i kant	Skjuta in ett verk i en inramning
rappa	Framföra text i takt till musik	Snabb rytmisk sång
rasar	Störtar samman	Är mycket arg
rasat	Har fallit samman	Har blivit rasande
rasen	De olika folkgrupperna	Kategorierna inom en art
raska	Skynda på	Öka takten
raskt	Med hög fart	Utan dröjsmål
rasta	Ta ut hunden en sväng	Ta paus från arbetet
raven	Rovdjur med buskig svans	Listigt skogsdjur
ravin	Djup smal dal	Trång klyfta i terrängen
reade	Läste texten högt tidigare	Gick igenom en bok förr
redan	Tidigare än väntat	Vid det här laget
redde	Fixade situationen	Ordnade upp något besvärligt
reder	Fixar upp en röra	Bringar ordning i något
regel	Metallstång som håller dörren stängd	En bestämd norm att följa
regim	Ett lands styrande maktapparat	Politiskt system som styr ett land
regna	Falla ner som vatten från skyn	Molnen gör när det blir blött ute
relik	Helgat föremål från förr	Kvarleva som vördas av troende
renad	Fri från föroreningar efter behandling	Luften efter filtrering beskrivs så
renar	Gör rent och fritt från smuts	Djur i norr som drar slädar
renas	Blir befriad från smuts	Genomgår en reningsprocess
rensa	Ta bort ogräs ur rabatten	Städa upp och sortera bort skräp
repat	Fått märken efter något vasst	Skrapat på ytan
resan	Färden man just gjort	Utflykten som just avslutats
reser	Åker iväg till annan plats	Ger sig av på en färd
reson	Att lyssna på förnuft	Bli medgörlig efter övertalning
reste	Åkte iväg till en annan plats, förr	Gav sig av på en färd, i dåtid
retad	Blivit provocerad av någon	Irriterad efter att ha blivit hånad
retar	Gör någon irriterad	Provocerar med skoj
retas	Ägnar sig åt att göra narr av någon	Ägnar sig åt att göra narr av någon
retat	Har provocerat någon	Har gjort någon irriterad
retro	Stil som hämtar inspiration från förr	Gammaldags mode som blivit populärt igen
revan	Sprickan i tyget	Den minskade segelytan efter reducering
revir	Område ett djur försvarar mot andra	Mark som markeras som eget territorium
rider	Sitter på en häst och styr den	Färdas till häst, just nu
riken	Länder styrda av en regent	Kungadömen eller stater
rikta	Sikta eller vända mot ett mål	Anpassa något för en viss mottagare
ringa	Slå ett telefonsamtal	Obetydlig eller liten till storlek
ringt	Har slagit ett telefonsamtal	Kontaktat någon per telefon, i perfekt form
rinna	Flyta som en bäck eller flod	Röra sig i en strid ström
risig	I dåligt skick	Sjaskig och trött
rista	Skära in i trä eller sten	Göra mönster med kniv
ritar	Skapar en teckning	Gör en skiss just nu
riten	Den högtidliga ceremonin	Det religiösa bruket
rival	Konkurrent om samma sak	Motståndare i en tävling
riven	Bearbetad med rivjärn	Sönderskrapad, till exempel skinn
rodde	Tog sig fram med åror	Framförde en båt utan motor
rolig	Väcker skratt	Underhållande och trevlig
rolla	Vira ihop till en cylinder	Göra en cigarett för hand
ropat	Har höjt rösten	Har kallat högljutt på någon
rosen	Den doftande blomman	Symbolen för kärlek i en bukett
rosta	Bryna bröd i brödrost	Göra kaffebönor mörka
rotar	Söker igenom noggrant	Gräver runt bland saker
rotat	Har letat runt bland saker	Har grävt efter något gömt
rubba	Flytta något ur läge	Störa en ordning
rulla	Röra sig runt sin egen axel	Färdas på hjul
rumpa	Kroppsdel man sitter på	Bakdelen på en människa
runda	En omgång i en tävling	Att gå runt något
rusar	Springer i full fart	Skyndar sig just nu
ruska	Skaka kraftigt	Vicka fram och tillbaka
rusta	Förbereda för strid	Göra i ordning utrustning
ruter	En färg i kortleken	Symbolen med röd romb
rutin	Vana handling man gör ofta	Erfarenhet från upprepning
rutor	Flera fyrkantiga fält	Glasbitarna i ett fönster
rymma	Fly från fångenskap	Ha plats för mycket
rynka	Ett veck i huden	Skrynkla ihop tyg
ryske	Den manliga personen av ett visst folkslag	Mannen från ett stort östland
råder	Är förhärskande just nu	Ger goda tips
rånar	Tar med våld eller hot	Stjäl pengar i en bank
rånat	Har begått ett rån	Har tömt kassan med hot
råtta	Gnagare i källaren	Symbol för svek i slang
räcka	Vara tillräckligt	En rad av liknande saker
rädda	Undsätta ur fara	Föra i säkerhet
räkan	Skaldjuret	Den lilla rosa skaldjuret på smörgåsen
räkna	Göra en uträkning	Addera tal
ränna	Smal kanal för vatten	Avlång fördjupning för avrinning
ränta	Avgift på lån	Avkastning på sparande
rätte	Den korrekta, om person	Den rättmätiga, i äldre form
rävar	Rödbruna rovdjur, flera stycken	Listiga djur i skogen
rökta	Behandlade med rök	Tog bloss förr i tiden
röran	Kaoset	Den stora oredan
rösta	Lägga sin sedel i valurnan	Lägga sin sedel i valurnan
rövar	Plundrar med våld	Tar egendom med hot
sabba	Förstöra planer	Ställa till det för någon
sadel	Sits på häst eller cykel	Ryttarens plats på hästryggen
sades	Uttalades av någon	Blev berättat
sadla	Sätta sadel på häst	Förbereda för ridning
sagda	De ord som yttrats	Uttalade tidigare, om flera
sagts	Har blivit uttalat	Har blivit berättat
saker	Föremål eller ting	Prylar av olika slag
sakna	Längta efter någon borta	Vara utan något
sakta	Med låg hastighet	Utan brådska
salar	Stora rum för samlingar	Lokaler för föreläsningar eller fester
salen	Det stora rummet	Lokalen för fest eller möte
saliv	Vätska i munnen	Rinner vid god mat
salta	Tillsätta smak i maten	Lägga in sill i lag
salva	Kräm mot skavsår	Smörjs på ett sår
samba	Livlig dans från Brasilien	Karnevalsrytm med trumtakt
sambo	Person man bor med utan vigsel	Partner i delad lägenhet
samla	Föra ihop till en hög	Skaffa en samling frimärken
samma	Identisk med den andra	Inte annorlunda alls
sarin	Farlig nervgas	Kemiskt vapen som förbjudits
satsa	Lägga pengar på ett spel	Investera i ett projekt
satta	Placerade föremål någonstans	Ställde saker på plats
satte	Placerade något förr	Ställde ner på ett bord
satts	Del av en mening	Enhet i en musikkomposition
sedan	Efteråt, i tiden	Bilmodell med sluten kaross
sedda	Observerade av andra	Blev betraktade med blicken
sedel	Papperspengar i plånboken	Betalningsmedel av papper
segel	Duk som fångar vind på båt	Del av en fartygsrigg
segra	Gå vinnande ur strid	Ta hem titeln
sekel	Hundra år	Tidsperiod av tio decennier
selen	Grundämne viktigt för sköldkörteln	Metallliknande grundämne i kosttillskott
senap	Gul kryddsås till korv	Skarp smaksättare vid grillning
senil	Nedsatt minne på grund av ålder	Åldersrelaterad glömska och förvirring
serum	Vätska som ges vid antikroppsbehandling	Hudvårdsprodukt med koncentrerad verkan
serve	Första slaget i en match	Öppningsslag i volleyboll
sesam	Frö som används i bakverk	Magiskt lösenord i sagan
shake	Tjock drink med glass	Vispad mjölkdryck med smak
shots	Flera små glas med sprit.	Runda på baren med flera små glas.
siare	Person som förutspår framtiden.	Kallas ofta orakel i gamla myter.
siena	Rödbrun jordfärg.	Färgton som påminner om bränd lera.
sikte	Det man tittar genom för att träffa mål.	Riktning man strävar mot.
silke	Tunt, glänsande tyg från larver.	Material i fina sjalar.
sinka	Fördröja något.	Göra att något tar längre tid.
siren	Ljudande larm vid fara.	Mytologisk varelse som lockade sjömän.
sista	Den slutgiltiga i en rad.	Den som återstår när alla andra är borta.
siste	Den slutgiltiga personen i en grupp.	Den man som är kvar av flera.
sitta	Vad man gör på en stol	Inta en position på en pall
sjuan	Siffran mellan sex och åtta	Spårvagnslinjen med det udda talet
skada	Fysisk åverkan efter en olycka	Att orsaka någon smärta eller men
skaka	Röra kraftigt fram och tillbaka.	Darra av kyla eller rädsla.
skala	Ta bort det yttre höljet.	Måttsystem på en karta.
skalp	Hårbevuxen huden på huvudet.	Troféer som togs av krigare förr.
skalv	Plötslig markrörelse.	Kortare form för jordbävning.
skapa	Frambringa något nytt.	Göra så att något uppstår.
skapt	Formad på ett visst sätt.	Utformad enligt en särskild modell.
skarp	Väldigt vass.	Stark i smak eller syn.
skars	Delades med kniv, i passiv form.	Blev nedskuren av ett vasst föremål.
skata	Svartvit fågel som gillar glittrande saker.	Fågel känd för att stjäla smycken enligt myt.
skatt	Pengar man betalar till staten.	Gömda värdesaker i en kista.
skede	En fas i en process.	Period i en utveckling.
skena	Räls som tåg rullar på.	Springa okontrollerat, om häst.
skepp	Stort fartyg till sjöss.	Del av en kyrka mellan pelarraderna.
skett	Har inträffat, i perfekt form	Vad som redan ägt rum
skick	Tillstånd eller kondition hos en sak	God ton och etikett
skift	Arbetspass, till exempel natt- eller dagpass	Period av arbetstid som avlöser en annan
skild	Separerad från sin make eller maka	Åtskild från något annat
skilt	Har upplösts från äktenskap	Hållits isär, om saker
skina	Lysa starkt, som solen gör	Glänsa av eget ljus
skinn	Djurhud använd till läder eller päls	Ytterhölje av garvat djurhud
skipa	Utöva rättvisa i domstol	Fälla domar och avgöra tvister
skiss	Enkel förstudie till en teckning	Grov utkast innan det slutgiltiga verket
skola	Institution där barn får undervisning	Plats för lektioner och läxor
skona	Låta någon slippa lidande	Behandla varsamt utan att skada
skopa	Redskap för att ösa upp vätska	Kärl med skaft, till exempel för glass
skott	Ljud och verkan av att avfyra ett vapen	Ny liten planta som spirar ur en gren
skrek	Ropade högt av rädsla eller smärta	Gav ifrån sig ett gällt läte
skrev	Formade bokstäver med penna	Satte ord på papper
skriv	Uppmaning att sätta ord på papper	Kommando att formulera text
skrov	Fartygets yttre kropp	Den bärande delen av en båt
skryt	Överdrivet berömmande tal om sig själv	Prat där man höjer sina egna bedrifter
skräm	Uppmaning att göra någon rädd	Kommando att injaga fruktan
skunk	Djur känt för sin illaluktande försvarsspray	Randigt nordamerikanskt däggdjur med stark doft
skurk	Ondskefull person i en berättelse	Antagonisten i en äventyrsfilm
skydd	Det som håller något säkert från fara	Barriär mot väder eller angrepp
skyla	Täcka något för att dölja det	Dra ett tyg över kroppen
skylt	Anslag med information utanför en butik	Tavla som visar vägnamn eller varning
skymt	Kort glimt man ser av något	En flyktig syn av en förbipasserande
skägg	Hår som växer på hakan	Ansiktsbehåring hos en man
skäll	Ljudet en hund ger ifrån sig	Hårda tillrättavisande ord
skäms	Känner sig generad över något man gjort	Upplever skam inför andra
skämt	Rolig historia som ska göra folk glada	Något sagt i syfte att roa
skänk	Möbel för porslin i matsalen	Gåva man ger utan att vänta motprestation
skära	Dela med kniv	Redskap för att slå av säd
skärm	Yta man tittar på framför datorn	Skydd mot regn eller sol
skärp	Rem man har runt midjan	Föremål som håller upp byxorna
skärs	Delas med kniv, i passiv form	Blir itu på köksbänken
skönt	Behagligt, som utrop	Vad man säger efter avslutat arbete
skört	Ömtåligt och lätt att skada	Bräckligt tillstånd
sköta	Ta hand om något	Sysselsätta sig med uppgifter
sköte	Kroppsdel där livet börjar	Familjens innersta krets, bildligt
sköts	Blev träffad av kula	Utfördes med gevär
skött	Väl omhändertagen	Utfört på rätt sätt
sladd	Elektrisk lina till en apparat	Tappa greppet med bilen på hal väg
slags	Ett visst sådant av något	Sort eller variant av något
slakt	Nedslaktning av djur för kött	Vad som sker på gården innan köttet paketeras
slant	Ett litet mynt	Liten summa pengar
slarv	Ovarsamhet i arbetet	Brist på noggrannhet
slava	Arbeta hårt utan frihet	Slita som en ofri arbetare
slets	Drogs isär med kraft	Blev sönderdragen
slint	Gick fel, om ett slag	Missade målet, om en åtgärd
slips	Bärs runt halsen till kostym	Klädesplagg med knut vid kragen
slita	Arbeta hårt	Dra sönder med kraft
slits	Nöts sönder med tiden	Dras isär med kraft
slogs	Bråkade eller kämpade, i dåtid	Utkämpade en strid förr
slopa	Avskaffa något helt	Ta bort en regel eller plan
slott	Kunglig bostad med torn	Stor byggnad för adel
sluga	Listiga och beräknande	Klipska personer
sluka	Äta girigt och snabbt	Att svälja något helt och hastigt
slump	Ren tillfällighet	Vad som styr utan plan
slurk	Liten mängd dryck	En klunk från glaset
slusk	Ovårdad och luggsliten person	Sjaskig figur på stan
sluta	Upphöra med något	Avsluta en aktivitet
slåss	Kämpar med nävarna	Ger sig i handgemäng
släck	Kväv en eld eller ett ljus	Stäng av lampan, som uppmaning
släkt	Personer man är besläktad med	Kusiner, mostrar och farbröder
släpa	Dra något tungt efter sig	Traska fram med möda
släta	Jämna ut en yta	Göra fri från veck
slätt	Utan ojämnheter	Platt landskap utan höjder
smaka	Pröva maten med tungan	Testa hur något är i munnen
smala	De är inte breda	Har liten bredd, flera stycken
smalt	Tunt och trångt	Motsatsen till brett
smida	Bearbeta metall med hammare och hetta	Forma järn vid ässjan
smink	Läggs på ansiktet före scenen	Puder och läppstift
smisk	Lätt slag som bestraffning	Aga på stjärten
smita	Fly undan ansvar	Ge sig av i smyg
smort	Behandlat med olja	Gjort halt genom fett
smula	Liten rest av bröd	Att falla sönder i små bitar
smuts	Lort och damm	Det tvätten ska ta bort
smått	I liten skala	Litet, obetydligt
smält	Blivit flytande av värme	Snö som blivit till vatten
smöra	Breda på fett åt någon	Krypa för att vinna gunst
snabb	Går undan fort	Motsatsen till långsam
snara	Fälla för att fånga djur	Ögla som stryper offret
snart	Inom kort	Alldeles strax
sneda	Gör dem skeva	Ger en lutning åt
snett	På ett skevt sätt	Inte i rät vinkel
snitt	Skärning med kniv	Genomsnittligt värde
snobb	Uppblåst person med fina vanor	Someone med förnämt sätt
snoka	Nyfiket leta efter hemligheter	Böka nyfiket i andras affärer
snott	Tillgripet olovligt	Stulet i smyg
snygg	Attraktiv att se på	Fin i utseendet
snåla	Hushålla överdrivet med resurser	Vara sparsam till överdrift
snäpp	Ett litet steg uppåt i grad	Ljudet från ett litet klick
snöre	Tunt band att knyta med	Används för att snöra skor
sobel	Pälsdjur med dyrbar päls	Litet mårddjur från norr
solar	Ligger i strandläge	Bryner sig utomhus
solid	Stabil och pålitlig	Fast och robust
sonar	Ekolod under vattnet	Ubåtars system för att upptäcka objekt
sonen	Det manliga barnet	Pojken i familjen
sopar	Städar med kvast	Rensar undan skräp
spade	Redskap för att gräva	Verktyg med skaft och blad för jordarbete
spalt	Vertikal textkolumn i en tidning	Del av en sida där text löper nedåt
spara	Lägga undan pengar	Undvika att slösa
spark	Slag med foten	Vad man ger en boll med foten
sparv	Liten brun fågel vid husknuten	Vanlig småfågel som kvittrar
spela	Delta i en tävling eller lek	Framföra musik på ett instrument
spets	Den vassa änden på något	Ett fint broderat tyg
spett	Lång stång att gräva eller bryta med	Stång man grillar kött på
spika	Fästa något med hammare	Bestämma något helt säkert
spion	Person som samlar hemlig information	Agent som arbetar i hemlighet
sport	Fysisk aktivitet med tävlingsinslag	Något man utövar för motion och tävling
spott	Saliv som hamnar utanför munnen	Vätska en orm kan skjuta mot ett byte
sprit	Starkt alkoholhaltigt dryck	Alkohol med hög procent
språk	System för kommunikation med ord	Det man talar och skriver för att förstås
spytt	Saliv som sprutats ut	Något som hostats eller spottats fram
spöar	Ger stryk med kraft	Vinner stort över en motståndare
spöat	Blivit slagen ordentligt	Fått rejält med stryk
spöke	Andeväsen som hemsöker ett hus	Vitklädd gestalt i skräckhistorier
stack	Insekters bo av kvistar och barr	Hög som myror bygger i skogen
stake	Lång pinne att hålla eller styra med	Ljushållare på ett bord
stall	Byggnad där hästar bor	Plats för djur med spiltor
stals	Blev tagen olovligt	Försvann genom tjuvars försorg
stank	Fruktansvärd lukt	Odör som sprider sig i rummet
stans	Verktyg som slår hål i material	Maskin som formar plåt med tryck
start	Ögonblicket något inleds	Signal för en tävlings början
staty	Skulptur föreställande en person	Konstverk i sten eller brons på ett torg
stava	Sätta ihop bokstäver till ett ord	Ange varje bokstav i ett ord
stege	Redskap för att klättra upp på tak	Räddningstjänsten använder en sådan
steka	Tillaga mat i het panna	Göra kött brunt i fett
stela	Bli hård och orörlig	Sluta böja sig, som lim
stelt	På ett formellt, styvt sätt	Utan naturlig rörlighet
stiga	Röra sig uppåt	Öka i antal eller värde
still	Utan ljud eller rörelse	Lugnt vatten utan vågor
sting	Smärtsam känsla av insektsbett	Skarp udd i en berättelse
stoff	Material att skriva eller väva av	Underlag för en artikel
stoft	Fint damm i luften	Det som blir kvar efter kremering
stolt	Full av självkänsla	Nöjd över en bedrift
stopp	Order att sluta röra sig	Trafikljus i rött läge
storm	Kraftig vind med regn	Väder som river tak
stort	I hög grad, omfattande	Om ett rum med gott om plats
story	En berättelse i tidningen	Handlingen i en film
stred	Kämpade i konflikt	Var i strid mot en fiende
strid	Väpnad konflikt	Kamp mellan två sidor
ströp	Tog struptag på någon	Kvävde med händerna
studs	Bollens rörelse mot golvet	Rekyl efter en träff
stuva	Laga mat i sås med grönsaker	Packa gods ombord noggrant
stygg	Elak och busig	Ett barn som beter sig illa
styra	Hålla i rodret eller ratten	Bestämma riktningen för något
styre	Del av cykeln man håller i	Regeringsform eller ledning av ett land
styrs	Kontrolleras utifrån	Leds av en fjärrkontroll
styrt	Lett i en bestämd riktning	Kontrollerat av en ratt
styva	Göra hårdare och fastare	Förstärka något veckt tyg
stånd	Bås på en marknad	Läge eller tillstånd
stång	Lång rak stav av metall	Flaggan hänger på en sådan
